'Non bird of prey', 2, 'Common'
'Non bird of prey', 2, "Barrow's"
'Non bird of prey', 0, '<No modifier name>'
'Non bird of prey', 2, 'Hooded'
'Non bird of prey', 2, 'Common'
'Non bird of prey', 3, 'Red-breasted'
'Non bird of prey', 1, 'Masked'
'Non bird of prey', 2, 'Ruddy'
'Non bird of prey', 1, 'Plain'
'Non bird of prey', 3, 'Helmeted'
'Non bird of prey', 2, 'Mountain'
'Non bird of prey', 2, 'Northern'
'Non bird of prey', 1, 'Scaled'
'Non bird of prey', 4, 'California'
'Non bird of prey', 2, "Gambel's"
'Non bird of prey', 4, 'Montezuma'
'Non bird of prey', 3, 'Indian'
'Non bird of prey', 0, '<No modifier name>'
'Non bird of prey', 4, 'Himalayan'
'Non bird of prey', 2, "Erckel's"
'Non bird of prey', 1, 'Black'
'Non bird of prey', 1, 'Gray'
'Non bird of prey', 2, 'Chinese'
'Non bird of prey', 3, "Elliot's"
'Non bird of prey', 4, "Lady Amherst's"
'Non bird of prey', 2, 'Ring-necked'
'Non bird of prey', 2, 'Silver'
'Non bird of prey', 2, 'Kalij'
'Non bird of prey', 1, 'Gray'
'Non bird of prey', 1, 'Ruffed'
'Non bird of prey', 2, 'Greater'
'Non bird of prey', 3, 'Gunnison'
'Non bird of prey', 1, 'Spruce'
'Non bird of prey', 2, 'Willow'
'Non bird of prey', 1, 'Rock'
'Non bird of prey', 2, 'White-tailed'
'Non bird of prey', 2, 'Dusky'
'Non bird of prey', 2, 'Sooty'
'Non bird of prey', 2, 'Sharp-tailed'
'Non bird of prey', 2, 'Greater'
'Non bird of prey', 2, 'Lesser'
'Non bird of prey', 1, 'Wild'
'Non bird of prey', 3, 'Red-throated'
'Non bird of prey', 2, 'Arctic'
'Non bird of prey', 3, 'Pacific'
'Non bird of prey', 2, 'Common'
'Non bird of prey', 3, 'Yellow-billed'
'Non bird of prey', 1, 'Least'
'Non bird of prey', 2, 'Pied-billed'
'Non bird of prey', 1, 'Horned'
'Non bird of prey', 2, 'Red-necked'
'Non bird of prey', 1, 'Eared'
'Non bird of prey', 2, 'Western'
'Non bird of prey', 1, "Clark's"
'Non bird of prey', 3, 'Chilean'
'Non bird of prey', 4, 'American'
'Non bird of prey', 3, 'Yellow-nosed'
'Non bird of prey', 2, 'White-capped'
'Non bird of prey', 2, "Salvin's"
'Non bird of prey', 2, 'Chatham'
'Non bird of prey', 2, 'Black-browed'
'Non bird of prey', 3, 'Light-mantled'
'Non bird of prey', 3, 'Wandering'
'Non bird of prey', 2, 'Laysan'
'Non bird of prey', 3, 'Black-footed'
